pair-1	pair-2	D-value
G3_26_r1	G3_87_r1	0.0055166666
G3_26_r1	G3_87_r2	0.0058568565
G3_26_r1	G31_109_r1	0.0117927489
G3_26_r1	G31_109_r2	0.0093453412
G3_26_r1	G31_119_r1	0.0109053155
G3_26_r1	G31_119_r2	0.0114647321
G3_26_r1	G31_29_r1	0.0121002235
G3_26_r1	G31_29_r2	0.0126642795
G3_26_r1	G31_29_r3	0.0120633717
G3_26_r1	G31_39_r1	0.012353608
G3_26_r1	G31_39_r2	0.0112159531
G3_26_r1	G31_49_r1	0.0115677023
G3_26_r1	G31_49_r2	0.0119817876
G3_26_r1	G31_59_r1	0.0115505106
G3_26_r1	G31_59_r2	0.0114271656
G3_26_r1	G31_79_r1	0.0127996942
G3_26_r1	G31_79_r2	0.0131801548
G3_26_r1	G31_89_r1	0.0118126686
G3_26_r1	G31_89_r2	0.0097749455
G3_26_r1	G31_99_r1	0.0116435161
G3_26_r1	G31_99_r2	0.0096576729
G3_26_r1	G31_99_r3	0.0120133044
G3_26_r1	G32_39_r1	0.0109251597
G3_26_r1	G32_39_r2	0.0114302209
G3_26_r1	G32_49_r1	0.0107924539
G3_26_r1	G32_49_r2	0.0103806399
G3_87_r1	G3_87_r2	0.0062273538
G3_87_r1	G31_109_r1	0.0119429474
G3_87_r1	G31_109_r2	0.0098288262
G3_87_r1	G31_119_r1	0.0111957121
G3_87_r1	G31_119_r2	0.0118307527
G3_87_r1	G31_29_r1	0.0128150253
G3_87_r1	G31_29_r2	0.0129251549
G3_87_r1	G31_29_r3	0.0126855579
G3_87_r1	G31_39_r1	0.0123426926
G3_87_r1	G31_39_r2	0.0113778248
G3_87_r1	G31_49_r1	0.0117640325
G3_87_r1	G31_49_r2	0.0120964185
G3_87_r1	G31_59_r1	0.0121513468
G3_87_r1	G31_59_r2	0.012110761
G3_87_r1	G31_79_r1	0.0133663771
G3_87_r1	G31_79_r2	0.0130188228
G3_87_r1	G31_89_r1	0.0121086455
G3_87_r1	G31_89_r2	0.0102073719
G3_87_r1	G31_99_r1	0.0116701647
G3_87_r1	G31_99_r2	0.0099460613
G3_87_r1	G31_99_r3	0.0119370793
G3_87_r1	G32_39_r1	0.011081959
G3_87_r1	G32_39_r2	0.0116702405
G3_87_r1	G32_49_r1	0.0110785131
G3_87_r1	G32_49_r2	0.0108934244
G3_87_r2	G31_109_r1	0.0117076675
G3_87_r2	G31_109_r2	0.0094067529
G3_87_r2	G31_119_r1	0.0109415152
G3_87_r2	G31_119_r2	0.0115185155
G3_87_r2	G31_29_r1	0.0119703851
G3_87_r2	G31_29_r2	0.0123686435
G3_87_r2	G31_29_r3	0.0119287039
G3_87_r2	G31_39_r1	0.0122181274
G3_87_r2	G31_39_r2	0.0110927841
G3_87_r2	G31_49_r1	0.011516398
G3_87_r2	G31_49_r2	0.0119447603
G3_87_r2	G31_59_r1	0.0116094944
G3_87_r2	G31_59_r2	0.0113755827
G3_87_r2	G31_79_r1	0.0129762437
G3_87_r2	G31_79_r2	0.0130883446
G3_87_r2	G31_89_r1	0.0117938835
G3_87_r2	G31_89_r2	0.009826606
G3_87_r2	G31_99_r1	0.0114821278
G3_87_r2	G31_99_r2	0.0095530336
G3_87_r2	G31_99_r3	0.0118836572
G3_87_r2	G32_39_r1	0.0108039184
G3_87_r2	G32_39_r2	0.0112027393
G3_87_r2	G32_49_r1	0.0106045629
G3_87_r2	G32_49_r2	0.0102390863
G31_109_r1	G31_109_r2	0.0031952934
G31_109_r1	G31_119_r1	0.0137948612
G31_109_r1	G31_119_r2	0.0152259645
G31_109_r1	G31_29_r1	0.0165345022
G31_109_r1	G31_29_r2	0.0168256444
G31_109_r1	G31_29_r3	0.016389338
G31_109_r1	G31_39_r1	0.0162572336
G31_109_r1	G31_39_r2	0.0150081165
G31_109_r1	G31_49_r1	0.015663552
G31_109_r1	G31_49_r2	0.016090029
G31_109_r1	G31_59_r1	0.0158450843
G31_109_r1	G31_59_r2	0.0155282925
G31_109_r1	G31_79_r1	0.0168992739
G31_109_r1	G31_79_r2	0.0165869465
G31_109_r1	G31_89_r1	0.0156436884
G31_109_r1	G31_89_r2	0.0136881138
G31_109_r1	G31_99_r1	0.0151391973
G31_109_r1	G31_99_r2	0.0132549422
G31_109_r1	G31_99_r3	0.0154541493
G31_109_r1	G32_39_r1	0.0147604625
G31_109_r1	G32_39_r2	0.0154603282
G31_109_r1	G32_49_r1	0.0149176134
G31_109_r1	G32_49_r2	0.0146636604
G31_109_r2	G31_119_r1	0.0109103587
G31_109_r2	G31_119_r2	0.0116359273
G31_109_r2	G31_29_r1	0.0135065192
G31_109_r2	G31_29_r2	0.0139524971
G31_109_r2	G31_29_r3	0.0134062524
G31_109_r2	G31_39_r1	0.0137873738
G31_109_r2	G31_39_r2	0.012607837
G31_109_r2	G31_49_r1	0.0130087561
G31_109_r2	G31_49_r2	0.0134542766
G31_109_r2	G31_59_r1	0.0127158986
G31_109_r2	G31_59_r2	0.0126293514
G31_109_r2	G31_79_r1	0.0131350995
