time0,time1,time2,D.value
0,3,3,0.0055166666
0,3,3,0.0058568565
0,3,31,0.0117927489
0,3,31,0.0093453412
0,3,31,0.0109053155
0,3,31,0.0114647321
0,3,31,0.0121002235
0,3,31,0.0126642795
0,3,31,0.0120633717
0,3,31,0.012353608
0,3,31,0.0112159531
0,3,31,0.0115677023
0,3,31,0.0119817876
0,3,31,0.0115505106
0,3,31,0.0114271656
0,3,31,0.0127996942
0,3,31,0.0131801548
0,3,31,0.0118126686
0,3,31,0.0097749455
0,3,31,0.0116435161
0,3,31,0.0096576729
0,3,31,0.0120133044
0,3,32,0.0109251597
0,3,32,0.0114302209
0,3,32,0.0107924539
0,3,32,0.0103806399
2,3,3,0.0062273538
0,3,31,0.0119429474
0,3,31,0.0098288262
0,3,31,0.0111957121
0,3,31,0.0118307527
0,3,31,0.0128150253
0,3,31,0.0129251549
0,3,31,0.0126855579
0,3,31,0.0123426926
0,3,31,0.0113778248
0,3,31,0.0117640325
0,3,31,0.0120964185
0,3,31,0.0121513468
0,3,31,0.012110761
0,3,31,0.0133663771
0,3,31,0.0130188228
0,3,31,0.0121086455
0,3,31,0.0102073719
0,3,31,0.0116701647
0,3,31,0.0099460613
0,3,31,0.0119370793
0,3,32,0.011081959
0,3,32,0.0116702405
0,3,32,0.0110785131
0,3,32,0.0108934244
0,3,31,0.0117076675
0,3,31,0.0094067529
0,3,31,0.0109415152
0,3,31,0.0115185155
0,3,31,0.0119703851
0,3,31,0.0123686435
0,3,31,0.0119287039
0,3,31,0.0122181274
0,3,31,0.0110927841
0,3,31,0.011516398
0,3,31,0.0119447603
0,3,31,0.0116094944
0,3,31,0.0113755827
0,3,31,0.0129762437
0,3,31,0.0130883446
0,3,31,0.0117938835
0,3,31,0.009826606
0,3,31,0.0114821278
0,3,31,0.0095530336
0,3,31,0.0118836572
0,3,32,0.0108039184
0,3,32,0.0112027393
0,3,32,0.0106045629
0,3,32,0.0102390863
30,31,31,0.0031952934
0,31,31,0.0137948612
0,31,31,0.0152259645
0,31,31,0.0165345022
0,31,31,0.0168256444
0,31,31,0.016389338
0,31,31,0.0162572336
0,31,31,0.0150081165
0,31,31,0.015663552
0,31,31,0.016090029
0,31,31,0.0158450843
0,31,31,0.0155282925
0,31,31,0.0168992739
0,31,31,0.0165869465
0,31,31,0.0156436884
