Pair_1	Pair_2	D.value
13_5	14_5	0.003796614
13_5	14_3	0.003974756
13_2	14_5	0.003995156
13_5	14_4	0.004040671
13_1	14_5	0.004046553
13_3	14_5	0.004048672
13_2	14_3	0.004127623
13_5	14_2	0.004161481
13_1	14_3	0.004165985
13_3	14_3	0.004177536
13_2	14_4	0.00421219
13_3	14_4	0.004255957
13_2	14_2	0.004261786
13_1	14_2	0.004287219
13_1	14_4	0.004323674
13_3	14_2	0.004341796
14_3	14_5	0.00248201
14_4	14_5	0.002537964
14_2	14_5	0.002734969
13_2	13_5	0.002693375
13_3	13_5	0.002778048
13_1	13_5	0.002834214
14_3	14_4	0.00248307
14_2	14_4	0.002743871
13_2	13_3	0.002846348
13_1	13_3	0.002956031
14_2	14_3	0.002343079
13_1	13_2	0.002357173

