time0,time1,time2,D.value
0,297,287,0.003796614
0,297,324,0.003974756
0,327,287,0.003995156
0,297,287,0.004040671
0,328,287,0.004046553
0,328,287,0.004048672
0,327,324,0.004127623
0,297,324,0.004161481
0,328,324,0.004165985
0,328,324,0.004177536
0,327,287,0.00421219
0,328,287,0.004255957
0,327,324,0.004261786
0,328,324,0.004287219
0,328,287,0.004323674
0,328,324,0.004341796
215,324,287,0.00248201
215,287,287,0.002537964
215,324,287,0.002734969
217,327,297,0.002693375
217,328,297,0.002778048
217,328,297,0.002834214
247,324,287,0.00248307
247,324,287,0.002743871
258,327,328,0.002846348
258,328,328,0.002956031
283,324,324,0.002343079
286,328,327,0.002357173
